"","load_yield_adj","yield","pH_mean","gpp_mean","precip_mean","site","month_adj"
"53",11288.3835257164,1168393516.60619,7.46836734693878,1102.69593269113,6.32761290188759,"California",8
"54",11991.4207283701,688773571.977378,7.47459183673469,1538.218072165,4.80049997170766,"California",9
"55",14910.1336872282,164678261.0688,7.48081632653061,1471.26905426048,0.459419352392997,"California",10
"56",15354.1214781488,85544773.5096,7.48714285714286,1283.58070959113,0,"California",11
"57",14924.7086402644,63400969.3244612,7.49336734693878,851.531337818333,2.51456668873628,"California",12
"58",14899.0609192732,98389743.3483429,7.42489795918367,478.343618958064,0.096580644528712,"California",1
"59",13450.3105068697,196279725.235927,7.43112244897959,232.619077502708,6.90903339584669,"California",2
"60",11902.8267167493,1266681395.21545,7.43734693877551,66.6013281877016,14.7393870098937,"California",3
"61",11292.7836169677,1328645677.26985,7.33548387096774,80.3024193548387,12.9751935582007,"California",4
"62",11300.090392138,1051739669.07175,7.36785714285714,168.576138227009,7.28025005435172,"California",5
"63",10537.3289797601,2044906682.24328,7.27096774193548,449.337067825202,13.970935390113,"California",6
"64",9778.65722435907,2362924051.92726,7.22333333333333,1032.51882435375,5.06910007049252,"California",7
"65",10083.298356929,1081127640.34173,7.26129032258065,1136.25204744214,4.95251608087171,"California",8
"66",11244.5851618294,345440545.451691,7.34666666666667,1434.21017554479,1.58299998603761,"California",9
"67",13589.1347656852,123981426.944197,7.41397849462366,1717.70139538306,0.978838721079932,"California",10
"68",14382.6571145414,157250448.948581,7.45376344086022,1463.06558385968,4.28912907454275,"California",11
"69",14671.5617646671,137830313.0484,7.4,968.773857660833,0.531166652838389,"California",12
"70",14899.6059958039,47363145.59088,7.49899275839368,510.743914008065,0.46738709749714,"California",1
"71",12593.1880496802,1614526641.59347,7.34515873015873,178.750289915625,26.1759665330251,"California",2
"72",10707.5550477297,778015870.965005,7.27081413210446,61.9808182235887,7.92912897467613,"California",3
