"","month","wy","load","yield","load_yield_adj","pH_mean","gpp_mean","cc_cumulative_precip","cc_precip_sd_year","cc_temp_mean","cc_temp_sd_year","va_gpp_sum","va_gpp_sd_year","va_gpp_sd_space","va_npp_median","va_npp_sd"
"60",3,2005,1368111342258.14,23016983.582108,59439.210936468,5.6173732718894,67.3806193649194,1642.979,9.5737,6.0148,11.0094,13646.5511,652.0781,29.0578,7579.6716,302.1647
"61",1,2006,5474214123036.06,118198857.983652,46313.5957184391,5.33235023041475,5.42338709677419,1544.39,9.605,6.8883,9.495,13174.7411,620.6343,34.4453,7635.292,268.6596
"62",2,2006,1465675009372.05,30045465.1056031,48781.9044977514,5.39739795918367,5.19419642857143,1544.39,9.605,6.8883,9.495,13174.7411,620.6343,34.4453,7635.292,268.6596
"63",3,2006,1627887539663.41,28994136.9811013,56145.404180317,5.49078341013825,100.801723856855,1544.39,9.605,6.8883,9.495,13174.7411,620.6343,34.4453,7635.292,268.6596
"64",1,2007,2024888764334.94,38921122.0825894,52025.4467494075,5.4396831797235,2.46774193548387,1272.168,6.8799,5.2097,11.2415,13555.6616,653.6992,32.8038,7987.4985,294.7018
"65",2,2007,253373030847.233,3743767.50171429,67678.6234004149,5.8065306122449,2.13392857142857,1272.168,6.8799,5.2097,11.2415,13555.6616,653.6992,32.8038,7987.4985,294.7018
"66",3,2007,2252015204252.63,41522547.2833247,54235.959775932,5.55824884792627,56.8306451612903,1272.168,6.8799,5.2097,11.2415,13555.6616,653.6992,32.8038,7987.4985,294.7018
"67",1,2008,2199277079170.23,37102240.4409351,59276.1259976029,5.47705069124424,2.40524193548387,1625.47,9.206,5.6001,10.3612,14261.0789,702.1269,34.3651,8395.9026,305.133
"68",2,2008,1918178448350.49,30687676.3555325,62506.4741340273,5.48581280788177,1.99353448275862,1625.47,9.206,5.6001,10.3612,14261.0789,702.1269,34.3651,8395.9026,305.133
"69",3,2008,2760597834126.31,46944315.6123956,58805.7957201824,5.43138248847926,52.1609617258065,1625.47,9.206,5.6001,10.3612,14261.0789,702.1269,34.3651,8395.9026,305.133
"70",1,2009,745399888827.948,11762526.672,63370.7288929961,5.60147465437788,0.423387096774194,1373.772,7.9321,5.4143,10.7339,13826.1615,640.3595,36.4366,8275.8517,298.2289
"71",2,2009,1014864315923.19,15365128.9316732,66049.8405471352,5.69493197278912,3.62053571428571,1373.772,7.9321,5.4143,10.7339,13826.1615,640.3595,36.4366,8275.8517,298.2289
"72",3,2009,3538847679739.65,62756036.1774637,56390.5545234307,5.44234254992319,85.0194710544355,1373.772,7.9321,5.4143,10.7339,13826.1615,640.3595,36.4366,8275.8517,298.2289
"73",1,2010,3159298615454.03,54671131.9621353,57787.3276456418,5.68661290322581,2.81653225806452,1405.173,8.6551,7.3891,10.3364,13758.4163,635.7247,34.2193,7899.6554,279.077
"74",2,2010,1135381705832.96,17478529.0148571,64958.6532635474,5.70482142857143,18.6145827555804,1405.173,8.6551,7.3891,10.3364,13758.4163,635.7247,34.2193,7899.6554,279.077
"75",3,2010,5241506987176.46,98735788.7729903,53086.1914642475,5.44465437788018,126.510727841532,1405.173,8.6551,7.3891,10.3364,13758.4163,635.7247,34.2193,7899.6554,279.077
"76",1,2011,1043545489096.38,16274717.928,64120.6498148272,5.72709677419355,0.548387096774194,1647.286,10.2129,6.8687,10.7871,13752.3762,665.1994,31.5477,7778.6731,278.3822
"77",2,2011,664732107389.363,9293203.872,71528.8415647666,5.87571428571429,2.74776785714286,1647.286,10.2129,6.8687,10.7871,13752.3762,665.1994,31.5477,7778.6731,278.3822
"78",3,2011,4700818920204.78,86814887.4582857,54147.6129018022,5.44364055299539,34.8937211955645,1647.286,10.2129,6.8687,10.7871,13752.3762,665.1994,31.5477,7778.6731,278.3822
"79",1,2012,2036365940877.5,32295258.4193407,63054.6414720118,5.68829493087558,4.1491935483871,1375.782,9.0461,7.6578,9.8811,14664.7691,666.2762,36.9067,8251.4509,317.4769
"80",2,2012,907067295952.714,13536115.8685714,67010.8991944115,5.77261083743842,34.5877818306034,1375.782,9.0461,7.6578,9.8811,14664.7691,666.2762,36.9067,8251.4509,317.4769
"81",3,2012,4234486536130.32,72743252.3968831,58211.3996364528,5.61497695852535,195.475970330444,1375.782,9.0461,7.6578,9.8811,14664.7691,666.2762,36.9067,8251.4509,317.4769
"82",1,2013,1919598284210.24,34843405.35,55092.1548834846,5.71838709677419,2.58266129032258,1201.474,6.6952,6.4677,10.9753,13791.0064,630.3461,32.1122,7682.6522,318.8454
"83",2,2013,1113280849502.9,18060092.52,61643.1420974196,5.78492346938776,11.3526785714286,1201.474,6.6952,6.4677,10.9753,13791.0064,630.3461,32.1122,7682.6522,318.8454
"84",3,2013,2447290650822.44,36251542.08,67508.5944046671,5.78571428571429,68.1377334455645,1201.474,6.6952,6.4677,10.9753,13791.0064,630.3461,32.1122,7682.6522,318.8454
"85",1,2014,2721451621816.65,42405103.35,64177.4552311439,5.61841589861751,1.88508064516129,1336.816,9.2217,5.5674,11.2174,13954.9407,670.7286,34.8088,8083.9305,309.7658
"86",2,2014,482863870014.046,6458516.52,74763.8979506776,5.85933673469388,2.52232142857143,1336.816,9.2217,5.5674,11.2174,13954.9407,670.7286,34.8088,8083.9305,309.7658
"87",3,2014,551127654838.913,7801707.75,70641.9251399045,5.96440092165899,39.2856598709677,1336.816,9.2217,5.5674,11.2174,13954.9407,670.7286,34.8088,8083.9305,309.7658
"88",1,2015,1055350806220.62,17168063.4,61471.7444613248,5.7073732718894,0,1306.448,9.4308,5.8304,11.6653,15480.6026,706.007,32.6836,8871.1883,353.8012
"89",2,2015,345205965642.814,4671862.29,73890.4411591323,5.87793367346939,0.368303571428571,1306.448,9.4308,5.8304,11.6653,15480.6026,706.007,32.6836,8871.1883,353.8012
"90",3,2015,502215998276.514,6993445.86,71812.3809535739,5.91684331797235,37.3099889495968,1306.448,9.4308,5.8304,11.6653,15480.6026,706.007,32.6836,8871.1883,353.8012
"91",1,2016,1272124442695.77,22564524.84,56377.187275873,5.6760599078341,3.1875,1229.993,7.5496,6.9651,10.4351,15816.6828,703.0479,36.8061,9048.0796,348.4744
"92",2,2016,3014370282409.87,47515850.22,63439.258025548,5.70206896551724,33.4391859491379,1229.993,7.5496,6.9651,10.4351,15816.6828,703.0479,36.8061,9048.0796,348.4744
"93",3,2016,2490710924362.14,43551468.99,57190.0554016684,5.58354838709677,154.731961879032,1229.993,7.5496,6.9651,10.4351,15816.6828,703.0479,36.8061,9048.0796,348.4744
"94",1,2017,1061957817346.13,16384835.34,64813.4567915734,5.82242703533026,10.8366935483871,1524.728,9.8375,6.3681,10.8045,14898.6384,677.0654,40.5745,8674.299,344.7683
"95",2,2017,2316756844729.63,41614674.9,55671.6314688698,5.86112244897959,17.1365791683036,1524.728,9.8375,6.3681,10.8045,14898.6384,677.0654,40.5745,8674.299,344.7683
"96",3,2017,1771698221375.11,31357502.16,56499.9792501045,5.76532258064516,62.9284959092742,1524.728,9.8375,6.3681,10.8045,14898.6384,677.0654,40.5745,8674.299,344.7683
"97",1,2018,3192446378812,54178640.25,58924.4463146525,5.7536866359447,5.63306451612903,1378.05,7.7328,6.0045,11.0485,14936.8722,706.5061,34.9443,8356.0714,348.1951
"98",2,2018,1599537476848.26,27444916.65,58281.7392833386,5.76441326530612,22.9193249870536,1378.05,7.7328,6.0045,11.0485,14936.8722,706.5061,34.9443,8356.0714,348.1951
"99",3,2018,1851149693853.09,32223646.35,57446.9342713937,5.78794162826421,57.3923465070565,1378.05,7.7328,6.0045,11.0485,14936.8722,706.5061,34.9443,8356.0714,348.1951
"100",1,2019,2021645790843.95,34542621.3,58526.1255446165,5.82546082949309,3.48790322580645,1502.821,8.1161,5.6427,10.9055,15170.9375,701.3669,37.9726,8726.4536,324.4699
"101",2,2019,1217210477626.29,20644976.85,58959.1592410186,5.85887755102041,9.88392857142857,1502.821,8.1161,5.6427,10.9055,15170.9375,701.3669,37.9726,8726.4536,324.4699
"102",3,2019,1014724448825.27,16831501.08,60287.2223934333,5.94264976958525,72.1403849798387,1502.821,8.1161,5.6427,10.9055,15170.9375,701.3669,37.9726,8726.4536,324.4699
"103",1,2020,1383003550220.99,24902293.11,55537.1966795144,5.85397465437788,12.25,1233.597,8.1737,7.2172,10.2374,14512.9932,663.8232,39.6517,8104.386,315.6049
"104",2,2020,724632754216.437,11166115.86,64895.6864949131,6.0307881773399,18.0307481163793,1233.597,8.1737,7.2172,10.2374,14512.9932,663.8232,39.6517,8104.386,315.6049
"105",3,2020,3146471331584.58,51633359.13,60938.7300110099,5.82410138248848,113.842875536694,1233.597,8.1737,7.2172,10.2374,14512.9932,663.8232,39.6517,8104.386,315.6049
